"","Kindom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter_oxydans"
"OTU_2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_leidyi"
"OTU_3","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia",""
"OTU_4","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","",""
"OTU_5","Bacteria","Actinobacteria","unidentified_Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",""
"OTU_6","Bacteria","Actinobacteria","unidentified_Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus_erythropolis"
"OTU_7","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus",""
"OTU_8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas\_sp.\_c1"
"OTU_9","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",""
"OTU_10","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"OTU_11","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_12","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium_yanoikuyae"
"OTU_13","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_14","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16",""
"OTU_15","Bacteria","Gemmatimonadetes","AKAU4049","","","",""
"OTU_16","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_17","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",""
"OTU_19","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira",""
"OTU_20","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_21","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"OTU_22","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_dokdonensis"
"OTU_23","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_24","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_decolorationis"
"OTU_25","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_elkanii"
"OTU_26","Bacteria","Chloroflexi","KD4-96","","","",""
"OTU_27","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_28","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","",""
"OTU_29","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","RB41",""
"OTU_30","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","DUNssu044","",""
"OTU_31","Bacteria","Proteobacteria","Deltaproteobacteria","43F-1404R","","",""
"OTU_32","Bacteria","Chloroflexi","Gitt-GS-136","","","",""
"OTU_33","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"OTU_34","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",""
"OTU_35","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","unidentified_Nitrosomonadaceae","bacterium_Ellin6067"
"OTU_36","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","288-2","",""
"OTU_37","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium",""
"OTU_38","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_39","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","","",""
"OTU_40","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",""
"OTU_41","Bacteria","Actinobacteria","unidentified_Actinobacteria","Frankiales","","",""
"OTU_42","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azoarcus",""
"OTU_43","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","FFCH11085","",""
"OTU_44","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","unidentified_Rhizobiales","Nordella",""
"OTU_45","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","unidentified_Xanthomonadales","Steroidobacter",""
"OTU_46","Bacteria","Chloroflexi","JG37-AG-4","","","",""
"OTU_47","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","",""
"OTU_48","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_49","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"OTU_50","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera",""
"OTU_51","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga",""
"OTU_52","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","",""
"OTU_53","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"OTU_54","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"OTU_55","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azotobacter",""
"OTU_56","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium",""
"OTU_57","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_58","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",""
"OTU_59","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_60","Bacteria","Acidobacteria","Subgroup_6","unidentified_Subgroup_6","unidentified_Subgroup_6","unidentified_Subgroup_6","Acidobacteria_bacterium_CB_286339"
"OTU_61","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",""
"OTU_62","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","RB41",""
"OTU_63","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIII","FamilyI","Microcoleus",""
"OTU_64","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_frederiksbergensis"
"OTU_65","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_66","Bacteria","Acidobacteria","Holophagae","Subgroup_10","Sva0725","",""
"OTU_67","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_68","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salegentibacter","bacterium_YC-ZSS-LKJ77"
"OTU_69","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",""
"OTU_70","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","unidentified_Nitrospiraceae","Nitrospira_japonica"
"OTU_71","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","FFCH13075","",""
"OTU_72","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium_alhagi"
"OTU_73","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_74","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","",""
"OTU_75","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","",""
"OTU_76","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter",""
"OTU_77","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","I-10","",""
"OTU_78","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azoarcus",""
"OTU_79","Bacteria","Actinobacteria","unidentified_Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_prunicolor"
"OTU_80","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",""
"OTU_81","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_82","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","unidentified_OM1_clade",""
"OTU_83","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","",""
"OTU_84","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",""
"OTU_85","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_86","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","",""
"OTU_87","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","",""
"OTU_88","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_89","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_90","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",""
"OTU_91","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_92","Bacteria","Acidobacteria","Subgroup_6","unidentified_Subgroup_6","unidentified_Subgroup_6","",""
"OTU_93","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","RB41",""
"OTU_94","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_95","Bacteria","Bacteroidetes","unidentified_Bacteroidetes","Order_III","unidentified_Order_III","Aliifodinibius",""
"OTU_96","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","",""
"OTU_97","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_xanthomarina"
"OTU_98","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","","",""
"OTU_99","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",""
"OTU_100","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",""
"OTU_101","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_102","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","",""
"OTU_103","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",""
"OTU_104","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_105","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","",""
"OTU_106","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"OTU_107","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_108","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_alba"
"OTU_109","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",""
"OTU_110","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",""
"OTU_111","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_112","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_113","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255_marine_benthic_group","",""
"OTU_114","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","unidentified_Xanthomonadales","Acidibacter",""
"OTU_115","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella",""
"OTU_116","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia_coli"
"OTU_117","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","","",""
"OTU_118","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_119","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","MNG7","",""
"OTU_120","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19","",""
"OTU_121","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","",""
"OTU_122","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","",""
"OTU_123","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"OTU_124","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_125","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium",""
"OTU_126","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"OTU_127","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes_digitatis"
"OTU_128","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Iamia",""
"OTU_129","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_130","Bacteria","Actinobacteria","unidentified_Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria","Lechevalieria_aerocolonigenes"
"OTU_131","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",""
"OTU_132","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",""
"OTU_133","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","",""
"OTU_134","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","",""
"OTU_135","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","",""
"OTU_136","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"OTU_137","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",""
"OTU_138","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium",""
"OTU_139","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer_adhaerens"
"OTU_140","Bacteria","Gemmatimonadetes","AKAU4049","","","",""
"OTU_141","Bacteria","Actinobacteria","TakashiAC-B11","","","",""
"OTU_142","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","PAUC26f",""
"OTU_143","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Intrasporangiaceae","Oryzihumus",""
"OTU_144","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","",""
"OTU_145","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16",""
"OTU_146","Bacteria","Tectomicrobia","","","","",""
"OTU_147","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",""
"OTU_148","Bacteria","Bacteroidetes","unidentified_Bacteroidetes","Order_II","Rhodothermaceae","",""
"OTU_149","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",""
"OTU_150","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salegentibacter",""
"OTU_151","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora",""
"OTU_152","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","",""
"OTU_153","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_154","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_155","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_156","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga",""
"OTU_157","Bacteria","Chloroflexi","P2-11E","","","",""
"OTU_158","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas",""
"OTU_159","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_160","Bacteria","Actinobacteria","Nitriliruptoria","Euzebyales","Euzebyaceae","",""
"OTU_161","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium",""
"OTU_162","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19","",""
"OTU_163","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","",""
"OTU_164","Bacteria","Firmicutes","Bacilli","","","",""
"OTU_165","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Nafulsella",""
"OTU_166","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter",""
"OTU_167","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",""
"OTU_168","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_169","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_170","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_171","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_172","Bacteria","Actinobacteria","unidentified_Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia_zijingensis"
"OTU_173","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_174","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia",""
"OTU_175","Bacteria","Gemmatimonadetes","AKAU4049","","","",""
"OTU_176","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Halobacillus",""
"OTU_177","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea",""
"OTU_178","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_179","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","",""
"OTU_180","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","",""
"OTU_181","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","",""
"OTU_182","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter",""
"OTU_183","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_184","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_giardinii"
"OTU_185","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Palleronia",""
"OTU_186","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","[Desulfobacterium]_catecholicum_group",""
"OTU_187","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","Kofleria_flava"
"OTU_188","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","",""
"OTU_189","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia",""
"OTU_190","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6","",""
"OTU_191","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_192","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","unidentified_Rhodospirillaceae","Rhodospirillales_bacterium_WX36"
"OTU_193","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","",""
"OTU_194","Bacteria","Actinobacteria","TakashiAC-B11","","","",""
"OTU_195","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_196","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_197","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","",""
"OTU_198","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Azohydromonas",""
"OTU_199","Bacteria","Actinobacteria","unidentified_Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","Dietzia_maris"
"OTU_200","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Elizabethkingia","Elizabethkingia_meningoseptica"
"OTU_201","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter",""
"OTU_202","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus",""
"OTU_203","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_204","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19","",""
"OTU_205","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_mexicana"
"OTU_206","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","",""
"OTU_207","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIII","FamilyI","",""
"OTU_208","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","",""
"OTU_209","Bacteria","Actinobacteria","unidentified_Actinobacteria","","","",""
"OTU_210","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter",""
"OTU_211","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","",""
"OTU_212","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","","",""
"OTU_213","Bacteria","Acidobacteria","Subgroup_17","","","",""
"OTU_214","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium",""
"OTU_215","Bacteria","Gemmatimonadetes","","","","",""
"OTU_216","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",""
"OTU_217","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",""
"OTU_218","Bacteria","Acidobacteria","Subgroup_6","unidentified_Subgroup_6","unidentified_Subgroup_6","",""
"OTU_219","Bacteria","Gemmatimonadetes","AKAU4049","","","",""
"OTU_220","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",""
"OTU_221","Bacteria","Chloroflexi","Ktedonobacteria","C0119","","",""
"OTU_222","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",""
"OTU_223","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_224","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",""
"OTU_225","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella",""
"OTU_226","Bacteria","Acidobacteria","Subgroup_25","","","",""
"OTU_227","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","unidentified_Rhodospirillales","Reyranella",""
"OTU_228","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Parafilimonas",""
"OTU_229","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium",""
"OTU_230","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","","",""
"OTU_231","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_232","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_13",""
"OTU_233","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",""
"OTU_234","Bacteria","Actinobacteria","unidentified_Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces","Glycomyces_harbinensis"
"OTU_235","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",""
"OTU_236","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","","",""
"OTU_237","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","unidentified_Xanthomonadales","Acidibacter",""
"OTU_238","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIV","FamilyI","Scytonema",""
"OTU_239","Bacteria","Acidobacteria","Subgroup_17","","","",""
"OTU_240","Bacteria","Actinobacteria","unidentified_Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",""
"OTU_241","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",""
"OTU_242","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","",""
"OTU_243","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","",""
"OTU_244","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","","",""
"OTU_245","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_246","Bacteria","Actinobacteria","","","","",""
"OTU_247","Bacteria","Acidobacteria","Subgroup_17","","","",""
"OTU_248","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_249","Bacteria","Chloroflexi","S085","","","",""
"OTU_250","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081_sediment_group",""
"OTU_251","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",""
"OTU_252","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","",""
"OTU_253","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Ammoniphilus",""
"OTU_254","Bacteria","Actinobacteria","unidentified_Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",""
