"","S1.F.1.U","S2.F.U","S3.F.U","S4.F.U","S6.F.U","S7.F.U","S9.F.U","S10.F.U","S13.F.U","S14.F.U","S16.F.U","S18.F.U","S19.F.U","S20.F.U","S21.F.U","S22.F.U","S24.F.U","S25.F.U","S26.F.U","S27.F.U","S29.F.U","S30.F.U","S31.F.U","S32.F.U","S37.F.U","S40.F.U","S41.F.U","S42.F.U"
"OTU_48",23,11,40,25,40,27,26,15,26,51,11,22,25,56,37,46,3,45,23,107,91,24,42,88,36,12,16,21
"OTU_49",17,9,9,17,1,10,6,4,20,14,7,10,11,5,12,12,15,13,4,8,8,26,31,22,33,79,22,37
"OTU_50",6,6,5,4,0,2,0,0,1,4,4,8,15,3,14,1,4,10,27,67,52,1,14,7,1,3,1,4
"OTU_51",60,144,66,53,80,49,85,82,47,56,70,30,93,66,59,68,44,96,87,106,42,41,50,70,54,65,41,24
"OTU_52",15,20,36,52,32,14,25,6,25,30,25,9,23,44,20,41,3,11,19,52,77,27,84,31,70,25,64,27
"OTU_53",16,18,20,37,16,8,21,36,69,26,105,25,24,19,17,59,145,36,35,24,16,41,87,47,184,29,104,40
"OTU_54",43,30,31,51,84,77,33,33,37,62,34,21,61,75,70,24,199,120,70,53,37,17,18,28,19,26,21,54
"OTU_55",0,1,0,2,0,2,0,0,1,0,3,1,0,0,0,2,2,6,1,7,12,21,113,75,169,35,390,21
"OTU_56",0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,25,13,0,4,0,0,59,85,97,9,1,7,0
"OTU_57",70,58,109,96,171,98,93,89,84,247,71,66,233,210,302,134,105,195,142,141,108,120,41,167,69,61,109,68
"OTU_58",9,7,5,13,2,17,16,17,4,7,14,6,15,11,7,12,12,15,11,24,1,42,60,30,31,10,19,13
"OTU_59",24,14,18,27,34,66,39,27,34,32,11,14,29,24,62,37,20,14,12,18,21,3,6,12,11,18,14,12
"OTU_60",123,78,80,60,80,38,81,50,44,49,33,14,50,81,36,17,6,22,33,49,24,39,23,36,18,56,36,36
"OTU_61",18,28,13,16,27,22,22,39,20,41,32,22,37,43,20,36,361,90,27,33,35,14,7,24,129,45,150,38
"OTU_62",24,34,41,37,120,46,43,57,51,216,35,49,96,187,191,62,52,81,122,121,129,32,39,112,64,119,106,89
"OTU_63",3,6,4,0,1,3,2,15,8,14,11,0,4,1,3,7,11,8,0,7,2,0,1,0,0,0,0,0
"OTU_64",16,4,30,11,5,7,10,8,37,28,20,11,11,20,20,29,44,50,25,36,44,22,19,85,129,92,678,93
"OTU_65",4,0,7,8,5,8,6,3,6,4,5,22,93,28,19,43,7,5,3,14,8,3,8,17,58,11,32,10
"OTU_66",4,2,18,5,36,16,12,6,5,15,15,10,18,7,25,16,7,18,20,20,17,6,6,88,27,7,20,18
"OTU_67",0,1,4,1,1,6,0,5,2,10,8,12,65,29,28,23,15,26,10,24,7,7,6,59,78,16,35,20
"OTU_68",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,14,0,10,0,0,9,15,60,0,0,0,0
"OTU_69",66,64,42,89,26,27,61,57,58,45,38,24,20,25,18,22,18,16,15,17,34,20,9,27,7,17,12,10
"OTU_70",11,20,21,21,36,24,14,15,9,22,17,11,20,30,24,15,10,16,26,17,47,3,2,16,5,8,8,7
"OTU_71",10,21,33,25,62,35,40,49,34,43,25,13,32,35,71,21,38,41,34,29,37,108,20,32,22,48,21,34
"OTU_72",20,29,30,34,24,22,41,31,31,20,48,21,33,23,21,19,18,20,30,12,34,40,32,38,42,25,43,16
"OTU_73",41,36,71,59,69,50,54,83,53,90,25,18,43,55,78,41,34,41,39,54,47,14,20,24,27,22,32,25
"OTU_74",42,17,33,31,10,38,53,31,56,26,9,59,21,47,52,71,7,19,25,24,17,7,30,20,23,15,9,11
"OTU_75",40,27,37,42,43,31,67,51,34,11,35,40,49,82,72,48,59,86,82,50,54,13,4,15,12,31,17,35
"OTU_76",26,29,24,26,17,29,17,18,18,16,43,14,19,20,24,34,53,16,18,24,30,30,28,18,47,15,31,7
"OTU_77",10,17,10,16,57,13,28,50,15,21,19,31,34,60,31,30,38,33,40,69,28,14,19,27,48,31,23,27
"OTU_78",11,5,3,12,7,7,7,4,8,10,22,11,42,14,12,18,7,29,6,14,11,24,34,27,90,48,68,133
"OTU_79",17,16,17,19,17,35,23,22,20,33,28,23,46,39,33,13,25,34,37,35,20,13,3,9,20,29,35,24
"OTU_80",1,60,4,25,12,2,2,49,4,2,47,51,14,3,14,4,0,3,3,2,0,6,35,0,1,19,18,20
"OTU_81",14,9,11,21,15,18,28,20,15,10,29,33,35,18,44,31,15,30,24,18,19,17,12,41,23,16,16,13
"OTU_82",5,1,17,8,1,27,48,35,29,13,20,512,9,18,39,53,30,36,29,7,13,24,54,45,17,7,26,7
"OTU_83",30,32,15,18,20,23,18,33,19,23,20,8,23,24,14,7,15,16,16,23,30,33,19,14,16,29,15,11
"OTU_84",17,9,11,4,0,16,5,7,5,9,5,12,10,6,9,31,6,3,6,10,20,4,18,58,50,2,12,60
"OTU_85",0,0,3,0,1,1,0,0,0,6,8,1,7,0,4,4,6,16,2,5,0,3,8,9,10,1,7,11
"OTU_86",41,22,34,31,65,26,36,28,41,44,34,31,32,42,34,46,17,45,44,46,47,5,14,41,26,16,36,35
"OTU_87",27,16,20,37,41,27,70,34,56,27,11,28,42,33,35,46,15,19,37,25,54,3,17,35,15,12,17,8
"OTU_88",64,48,71,47,100,39,38,29,67,62,59,24,31,48,57,50,38,75,45,88,51,91,59,31,17,41,25,53
"OTU_89",18,21,32,24,23,26,26,24,17,30,33,11,33,25,50,22,62,50,24,25,24,43,15,15,23,30,13,16
"OTU_90",4,0,0,4,1,6,8,2,7,5,16,18,21,5,17,39,17,23,5,2,40,40,43,25,20,12,11,16
"OTU_91",25,11,32,44,31,15,34,30,17,16,19,9,37,31,14,21,6,7,23,32,58,7,22,31,13,8,5,9
"OTU_92",78,48,72,74,39,24,73,39,65,55,27,18,17,46,12,25,16,22,59,65,44,36,91,38,48,34,99,60
"OTU_93",157,30,75,119,23,48,69,22,70,138,24,12,18,54,51,19,16,13,32,100,101,41,176,47,24,49,44,134
"OTU_94",123,69,121,106,105,80,102,52,66,103,40,40,87,172,80,52,35,103,61,107,109,43,48,54,45,36,58,37
"OTU_95",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,15,4,2,0,6,81,42,62,15,22,27,0
"OTU_96",13,6,7,13,10,46,39,15,45,10,7,18,29,12,35,46,19,17,20,6,8,2,1,13,23,14,15,4
"OTU_97",2,0,2,2,0,0,0,0,2,2,3,1,0,0,2,1,3,2,0,0,0,11,37,6,30,37,25,64
"OTU_98",1,0,0,0,1,4,0,0,2,3,8,4,21,2,37,24,12,5,8,0,21,2,3,4,0,2,2,3
"OTU_99",1,0,0,0,0,0,0,1,1,0,1,25,0,2,2,15,3,0,1,0,0,3,4,2,0,2,1,139
"OTU_100",37,27,21,20,15,20,17,18,16,26,27,12,17,10,7,27,30,20,17,17,32,17,10,9,28,18,20,25
"OTU_101",21,13,18,31,20,14,23,17,35,15,24,26,64,38,49,39,29,18,23,36,34,30,19,47,44,25,44,16
"OTU_102",20,14,17,14,4,15,47,23,24,7,6,97,7,16,9,12,17,19,15,14,19,1,4,11,2,7,9,3
"OTU_103",49,56,42,56,45,58,51,53,28,66,20,11,38,63,27,16,25,16,26,54,27,58,46,16,16,39,17,39
"OTU_104",5,6,14,5,3,7,5,20,6,11,13,10,21,12,22,7,99,18,7,11,14,14,4,20,12,9,16,7
"OTU_105",105,36,54,88,98,31,96,42,164,50,149,21,54,92,30,74,25,78,89,60,119,35,23,84,69,32,460,12
"OTU_106",153,135,77,113,91,68,54,62,76,73,133,21,67,100,44,75,101,249,72,135,105,129,253,59,74,133,52,153
"OTU_107",101,54,87,125,149,62,85,91,58,110,66,55,94,210,153,93,42,90,67,132,115,56,28,80,46,55,68,48
"OTU_108",19,10,11,23,12,21,14,16,30,21,11,14,10,6,9,16,12,11,5,11,17,19,50,26,112,11,43,41
"OTU_109",5,0,3,2,0,3,5,4,1,7,5,12,21,17,9,11,7,20,10,8,12,0,1,20,11,3,10,4
"OTU_110",3,80,1,49,42,3,0,54,10,1,84,1,1,1,1,0,0,0,0,1,18,0,0,0,0,0,0,1
