"","S1.F.1.U","S2.F.U","S3.F.U","S4.F.U","S6.F.U","S7.F.U","S9.F.U","S10.F.U","S13.F.U","S14.F.U","S16.F.U","S18.F.U","S19.F.U","S20.F.U","S21.F.U","S22.F.U","S24.F.U","S25.F.U","S26.F.U","S27.F.U","S29.F.U","S30.F.U","S31.F.U","S32.F.U","S37.F.U","S40.F.U","S41.F.U","S42.F.U"
"OTU_4425",2,2,2,0,1,1,2,2,0,1,2,4,1,1,4,1,1,4,3,0,4,12,5,2,4,2,1,1
"OTU_4426",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_4427",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0
"OTU_4428",0,0,0,0,0,0,1,2,0,2,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"OTU_4429",0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"OTU_4430",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"OTU_4431",2,2,0,1,1,1,0,1,0,0,2,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
"OTU_4432",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1
"OTU_4434",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,3,0,0,1,0,0,1,1,0,2,0
"OTU_4435",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_4437",12,9,9,11,11,7,9,4,4,8,10,7,10,11,8,2,4,3,12,9,9,13,21,4,5,12,2,3
"OTU_4438",1,1,1,2,4,0,1,1,1,2,4,2,0,2,1,0,0,0,4,0,1,4,0,2,1,0,0,0
"OTU_4439",0,1,0,0,0,1,0,1,0,1,0,0,2,0,2,0,2,0,4,1,0,3,0,1,0,4,1,0
"OTU_4440",2,1,0,0,2,0,0,0,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0
"OTU_4441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4442",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1
"OTU_4443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4444",0,0,0,0,0,0,0,1,0,0,7,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
"OTU_4445",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4446",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"OTU_4447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4448",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4449",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_4450",0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4451",0,0,0,1,3,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"OTU_4452",0,1,1,1,5,1,2,1,1,0,0,0,1,0,1,0,2,1,5,0,0,0,1,0,0,1,0,1
"OTU_4453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4454",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"OTU_4455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4456",0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_4457",1,1,0,1,4,1,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,1,3,0,0,0,0
"OTU_4458",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4459",1,0,0,1,0,0,0,0,0,0,1,1,6,3,1,3,0,1,1,0,0,0,0,0,0,0,0,1
"OTU_4460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4461",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_4463",1,4,0,0,0,3,1,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"OTU_4464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"OTU_4465",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0
"OTU_4466",3,3,0,0,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4467",0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,0,0
"OTU_4468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4469",0,0,0,0,1,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4470",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,3,1,2
"OTU_4471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0
"OTU_4472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_4473",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"OTU_4474",2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0
"OTU_4475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,1,0,0,0,0
"OTU_4476",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
"OTU_4477",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4478",1,11,8,1,5,4,8,23,5,9,2,78,4,2,3,2,4,12,1,7,10,2,1,2,1,0,0,4
"OTU_4479",0,1,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,3,0
"OTU_4481",7,10,4,5,15,2,0,4,2,12,4,1,1,2,4,0,1,3,4,2,3,2,0,1,0,0,0,3
"OTU_4482",0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_4483",0,1,0,0,1,0,0,1,0,0,1,0,4,1,0,0,2,0,1,0,0,1,0,1,0,1,1,0
"OTU_4484",1,0,1,0,1,1,0,2,0,1,3,0,2,1,0,1,13,1,2,2,1,3,10,0,5,0,1,0
"OTU_4485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4486",0,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1
"OTU_4487",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_4489",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"OTU_4490",0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_4491",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"OTU_4492",0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"OTU_4493",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0
"OTU_4494",0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_4495",0,0,2,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"OTU_4496",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0
"OTU_4497",0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_4498",0,2,1,2,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,1
"OTU_4499",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4500",1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,0,0,1,0,3
"OTU_4501",0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_4502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4503",0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0
"OTU_4504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4505",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,2,0
"OTU_4506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0
"OTU_4507",0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_4508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"OTU_4509",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0
"OTU_4510",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_4511",2,8,3,2,0,2,4,2,1,2,2,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,1
"OTU_4512",1,0,1,2,1,0,2,1,1,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0
"OTU_4513",0,0,0,1,1,1,2,0,0,1,1,0,1,1,0,0,2,0,0,2,1,0,2,0,1,0,0,2
"OTU_4514",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,1,0,0,0,1,0,1
"OTU_4515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"OTU_4518",8,11,2,13,6,7,17,4,7,3,3,3,7,8,1,13,0,3,7,6,8,0,5,2,4,1,5,2
"OTU_4519",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4520",1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4521",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4522",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
"OTU_4524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4525",5,1,0,1,1,1,3,3,2,1,3,3,5,2,8,3,0,3,5,5,3,8,6,8,3,3,0,1
"OTU_4526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4528",1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4529",0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
"OTU_4530",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_4531",0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"OTU_4532",0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"OTU_4533",0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"OTU_4535",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4536",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"OTU_4537",0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,1,1,0
"OTU_4538",0,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_4539",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,3,0,1,0,0,1,0,0,1,0
"OTU_4540",12,11,5,17,10,11,14,16,11,7,2,7,11,14,23,7,3,22,13,3,20,22,11,28,14,28,11,8
"OTU_4541",1,0,0,1,0,0,1,3,0,0,1,0,0,1,0,1,0,0,0,1,0,6,1,1,0,2,1,0
"OTU_4542",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4544",0,1,1,0,0,1,1,0,1,0,0,0,0,3,0,0,2,4,0,2,1,0,0,1,2,0,1,1
"OTU_4545",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0
"OTU_4546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4547",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"OTU_4548",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"OTU_4549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_4550",1,4,3,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4551",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_4552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4553",2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4555",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,1,0
"OTU_4556",3,2,2,0,3,0,7,4,2,3,11,11,2,6,4,4,2,1,8,5,10,1,0,2,2,1,3,4
"OTU_4557",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"OTU_4558",1,0,1,0,2,0,2,0,3,1,0,1,1,2,0,0,0,0,2,8,3,10,0,0,1,1,2,1
"OTU_4559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4560",0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_4561",0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4562",0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4563",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_4564",2,5,4,0,0,0,2,3,7,4,2,1,0,5,0,5,5,2,2,3,2,0,0,1,0,0,0,0
"OTU_4565",0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4567",0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0
"OTU_4568",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4569",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
"OTU_4570",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"OTU_4571",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"OTU_4572",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
"OTU_4573",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_4574",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"OTU_4575",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"OTU_4576",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4577",1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4578",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4580",0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_4581",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4582",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"OTU_4583",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0
"OTU_4584",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
"OTU_4585",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4586",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4587",1,1,3,0,0,1,3,1,1,0,1,0,2,0,1,4,4,0,2,4,2,1,0,0,0,0,1,0
"OTU_4588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4589",1,1,0,1,0,2,1,1,0,0,2,0,0,0,1,0,2,1,7,2,13,2,0,3,0,2,1,0
"OTU_4590",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_4593",43,14,56,50,2,31,65,32,81,24,54,148,16,30,36,24,43,37,21,30,61,45,53,54,73,18,77,17
"OTU_4594",2,0,0,2,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4597",0,0,1,0,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4598",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4599",0,1,0,1,1,1,0,1,0,0,0,0,0,2,1,1,3,0,0,1,1,0,0,0,0,0,1,0
"OTU_4600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"OTU_4601",1,2,1,5,0,0,2,3,1,1,0,3,2,1,1,2,0,3,1,2,2,0,4,3,4,1,9,7
"OTU_4602",0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_4604",0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4605",0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"OTU_4607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1
"OTU_4608",0,0,0,1,0,3,0,0,3,0,0,3,0,0,3,0,1,0,2,0,0,0,0,0,0,0,2,9
"OTU_4609",0,7,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"OTU_4610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4611",3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1
"OTU_4612",0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"OTU_4613",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"OTU_4614",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0
"OTU_4615",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4616",0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
"OTU_4617",1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_4618",0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4619",0,3,1,4,7,5,1,8,2,6,3,5,3,6,2,1,2,3,3,3,1,0,1,1,2,2,3,2
"OTU_4620",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4621",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"OTU_4622",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_4623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_4624",0,0,1,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_4625",0,1,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,2,5,1,0,0,0,0,0,1,0,0
"OTU_4626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"OTU_4627",0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_4628",3,8,1,1,5,4,2,1,10,4,1,1,3,1,1,0,0,1,2,4,2,0,0,1,0,0,0,1
"OTU_4629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_4630",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_4631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4632",1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"OTU_4633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_4634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4635",0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_4636",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"OTU_4637",0,0,0,2,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4638",0,0,1,0,5,0,0,0,1,2,1,2,0,3,0,0,5,0,4,2,0,0,0,2,0,1,0,1
"OTU_4639",1,1,1,1,2,2,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4640",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4641",3,6,4,6,6,33,2,6,8,5,1,0,4,0,1,3,2,2,1,0,1,0,1,0,1,0,1,0
"OTU_4642",0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
